Id,PARK_NAME,BUILDING,Lat,Long,Wifi_Points,Wifi_Locs,Meal_Points,Meal_Loc
PNR-102,Samuel F Houston Playground,Y,40.06910761,-75.23139861,0,,0,
PNR-103,Thomas Mitchell Playground,Y,40.06823961,-74.99194831,0,,0,
PNR-104,Water Tower Recreation Center,Y,40.07537903,-75.20049791,0,,0,
PNR-105,Fox Chase Recreation Center,Y,40.07419483,-75.08167881,0,,0,
PNR-106,Dorothy Emanuel Recreation Center,Y,40.08145064,-75.17566252,0,,0,
PNR-107,Corporal Jimmy OConnor Memorial Playground,Y,40.08011207,-74.97401896,0,,0,
PNR-108,Elizabeth M Picariello Playground,Y,40.08044252,-74.98926858,0,,0,
PNR-109,Officer Robert Hayes Memorial Playground,Y,40.09117744,-75.02078199,0,,0,
PNR-110,Michael Palmer Playground,Y,40.09578237,-74.98906437,0,,0,
PNR-111,Eileen Fitzpatrick Playground,Y,40.09632119,-74.97219479,0,,0,
PNR-112,William A Lackman Memorial Playground,Y,40.10026795,-75.03320141,0,,0,
PNR-113,Jim Junod Recreation Center,Y,40.10340606,-74.96943963,0,,0,
PNR-114,Tomlinson and Gifford Playground,Y,40.11490966,-75.02472468,0,,0,
PNR-115,Lonnie Young Recreation Center of East Germantown,Y,40.04999922,-75.15956395,0,,1,GM-5_
PNR-116,William (Billy) Gambrel Playground,Y,40.01422542,-75.07587524,0,,0,
